,pollution_t,pollution_t-1,dew_t,dew_t-1,temp_t,temp_t-1,press_t,press_t-1,wnd_spd_t,wnd_spd_t-1,snow_t,snow_t-1,rain_t,rain_t-1
pollution_t,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
pollution_t-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
dew_t,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
dew_t-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
temp_t,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
temp_t-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0
press_t,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
press_t-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0
wnd_spd_t,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
wnd_spd_t-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
snow_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snow_t-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rain_t,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
rain_t-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
